instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
13623298,53216,NIFTY25JULFUT,NIFTY,0,2025-07-31,0,0.1,75,FUT,NFO-FUT,NFO
16410370,64103,NIFTY25AUGFUT,NIFTY,0,2025-08-28,0,0.1,75,FUT,NFO-FUT,NFO
13568258,53001,NIFTY25SEPFUT,NIFTY,0,2025-09-25,0,0.1,75,FUT,NFO-FUT,NFO
13622530,53213,BANKNIFTY25JULFUT,BANKNIFTY,0,2025-07-31,0,0.2,35,FUT,NFO-FUT,NFO
16409602,64100,BANKNIFTY25AUGFUT,BANKNIFTY,0,2025-08-28,0,0.2,35,FUT,NFO-FUT,NFO
13566722,52995,BANKNIFTY25SEPFUT,BANKNIFTY,0,2025-09-25,0,0.2,35,FUT,NFO-FUT,NFO
13622786,53214,FINNIFTY25JULFUT,FINNIFTY,0,2025-07-31,0,0.1,65,FUT,NFO-FUT,NFO
16409858,64101,FINNIFTY25AUGFUT,FINNIFTY,0,2025-08-28,0,0.1,65,FUT,NFO-FUT,NFO
13567234,52997,FINNIFTY25SEPFUT,FINNIFTY,0,2025-09-30,0,0.1,65,FUT,NFO-FUT,NFO
13623042,53215,MIDCPNIFTY25JULFUT,MIDCPNIFTY,0,2025-07-31,0,0.05,140,FUT,NFO-FUT,NFO
16410114,64102,MIDCPNIFTY25AUGFUT,MIDCPNIFTY,0,2025-08-28,0,0.05,140,FUT,NFO-FUT,NFO
13567490,52998,MIDCPNIFTY25SEPFUT,MIDCPNIFTY,0,2025-09-30,0,0.05,140,FUT,NFO-FUT,NFO
13623554,53217,NIFTYNXT5025JULFUT,NIFTYNXT50,0,2025-07-31,0,0.2,25,FUT,NFO-FUT,NFO
16410626,64104,NIFTYNXT5025AUGFUT,NIFTYNXT50,0,2025-08-28,0,0.2,25,FUT,NFO-FUT,NFO
13568514,53002,NIFTYNXT5025SEPFUT,NIFTYNXT50,0,2025-09-30,0,0.2,25,FUT,NFO-FUT,NFO
